FINAL BOTTLE BILL GUIDE ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region ,Latitude,Longitude,marker-size,marker-symbol,marker-color,Features,Deposit Amount,Containers Covered,PET Deposit Legislation,PET Consumed,PET Recollection Rate,PET Recycling Rate,State Agency,citation-1-title,citation-1-url,citation-2-title,citation-2-url,citation-3-title,citation-3-url,citation-4-title,citation-4-url,citation-5-title,citation-5-url,citation-6-title,citation-6-url,citation-7-title,citation-7-url
Switzerland,46.8038,8.222855,large,waste-basket,#E15B6C,"Deposits required on all refillable drinks containers except cans, which have a voluntary tax of $0.04 (Hogg et al., 2010) ","Ref. glass: $0.16 <0.6 L, $0.40 >0.6 L; Ref and one-way PET: $0.40 >1.5 L (Hogg et al., 2010) ","Currently all containers above certain weight. (Hogg et al., 2010) ","1990 (Hogg et al., 2010) ",,"85% PET collection rate (Van Eygen, Laner, & Fellner 2018) 

45% Closed-loop PET in 2012, 31% open-loop in 2012 (Haupt et al., 2017)

Refillable PET 70%  (Hogg et al., 2010) 

","26% Reprocessed into new bottles (Van Eygen, Laner, & Fellner 2018)

26% Closed-loop PET recycling in 2012, 30% open-loop recycling in 2012 (Haupt et al., 2017)
",,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(Haupt et al., 2017)",https://doi.org/10.1111/jiec.12506,"(Van Eygen et al., 2018)",https://www.sciencedirect.com/science/article/pii/S0956053X17308802,,,,,,,,
United Kingdom-Scotland,56.68894,-4.0425997,large,waste-basket,#E15B6C,"Voluntary deposit refund on reusable beverage packaging exists only in Scotland--voluntary for reusable containers (European Parliament, 2011) ",,,,,"37.2% PET recollection rate in 2011 (Welle, 2011)",,,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Welle, 2011) ",http://www.sciencedirect.com/science/article/pii/S0921344911000656,,,,,,,,,,
USA ,-97.922211,39.381266,large,waste-basket,#E15B6C,"11 statewide laws with container deposit-return systems (Wen, 2014)

3/11 statewide container deposit-return systems include PET water bottles: California, Hawaii, & Maine (Container Recycling Institute, 2013)

3 methods: curbside collection, buy-back recycling centers, bottle bills (Wen, 2014)

",See individual states.,See individual states.,See individual states.,"2427 of 1000 tons of PET in 2010 (Wen, 2014)","26% in 2008, 15-16% Overall PET Collection (Kuczenski, 2010)

29.1% country total in 2011 (Container Recycling Institute, 2013)

47.9% deposit states total in 2010 (Container Recycling Institute, 2013)

19.9% non-deposit states total in 2010 (Container Recycling Institute, 2013)

28.2% in 2011; 655.000 t of post-consumer PET bottles is recollected in 2009 (Welle, 2011)

","29.1% PET Recycling in 2010 (Wen, 2014); 27% PET Recycling Rate in 2007 (Castro,2011), 30.1% in 2015 (Kou, 2019), 28.4% in 2016 (Kou, 2016) ",,"(Kou, 2019)",https://lutpub.lut.fi/bitstream/handle/10024/160227/Thesis%20Wei%20Kou_Final%20Version%20for%20Submission%2011.11.2019.pdf?sequence=1&isAllowed=y,"(Welle, 2011)",http://www.sciencedirect.com/science/article/pii/S0921344911000656,"(Wen, 2014)",https://www.sciencedirect.com/science/article/pii/S0956053X13003437,"(Kuczenski, 2010)",http://www.sciencedirect.com/science/article/pii/S0921344910000881,"(Container Recycling Institute, 2013)",http://www.container-recycling.org/index.php/publications,"(Castro, 2011)",http://www.sciencedirect.com/science/article/pii/S0921344910000881,,
USA-California,37.2551,-119.61752,large,waste-basket,#E15B6C,"Redemption centers not retailers.California Beverage Container Recycling and Litter Reduction Act, Deposit-return system on non-refillable containers (Hogg et al., 2010) ","Under 24 oz $0.05, over 24oz $0.10 (Hogg et al., 2010) ","Non-refillable drinks containers: beer, spirits, carbonated, fruit drinks and some vegetable juices. Not milk. (Hogg et al., 2010)","1987. Expanded 2000 to include all non- carbonated and non- alcoholic drinks excluding milk.(Hogg et al., 2010) ",,"PET 46% HDPE 51%, Overall 61% (Hogg et al. 2010) ",,,CalRecycle,https://www.calrecycle.ca.gov/BevContainer/,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Connecticut,41.5735,-72.738304,large,waste-basket,#E15B6C,"Redemption center or retailers but only for brands/products they sell. Beverage Container Deposit and Redemption Law (Hogg et al., 2010) ","$0.05 (Hogg et al., 2010) ","Beer, malt, soft drinks, and mineral water (Hogg et al., 2010) ","1980 (Hogg et al., 2010) ",,"Estimated total recycling rate to be similar to Massachuset of of 69% (Hogg et al., 2010) ",,,Connecticut Department of Energy & Environmental Protection,https://portal.ct.gov/DEEP/Reduce-Reuse-Recycle/Bottles/Connecticut-Bottle-Bill,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Delaware,39.00813,-75.467476,large,waste-basket,#E15B6C,"Beverage Container Legislation (Hogg et al., 2010) ","$0.05 (Hogg et al., 2010) ","Non-aluminium beer, malt, carbonated, mineral water and soda water containers less than 2 quarts (approx. 1.9l L). (Hogg et al., 2010)","1982 Wholesale, 1983 Retail (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
USA-Hawaii,19.598516,-155.51855,large,waste-basket,#E15B6C,"Redemption centers or retailers (if not within 2 miles of red. centre in highly populated areas, or if under 5,000 sq ft of retail space). (Hogg et al., 2011)  ","$0.05 (Hogg et al., 2010) ","All beverage containers excluding milk and dairy derived products, except tea and coffee or liquor containers. (Hogg et al., 2010)","2002 (Hogg et. al, 2010)",,"total 72% in 2008 (Hogg et al., 2010)",,,"State of Hawaii, Department of Health",https://health.hawaii.gov/hi5/,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Iowa,42.0747,-93.49997,large,waste-basket,#E15B6C,"Redemption centers or retailers, who can refuse if they have an angreement with former. Deposit containers banned from landfill in 1990. (Hogg et al., 2010)","Not less than $0.05 (Hogg et al., 2010)","Beer, soft drinks, soda water, mineral water, wine, liquor and wine coolers. (Hogg et al., 2010) ","1979 (Hogg et al., 2010) ",,"total 93% (Hogg et al., 2010) ",,,Iowa Department of Nautral Resources,https://www.iowadnr.gov/Environmental-Protection/Land-Quality/Waste-Planning-Recycling/Bottle-Deposit-Law,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Maine,45.31525,-69.20395,large,waste-basket,#E15B6C,"Redemption centers or retailers, who can refuse if they have an angreement with former. Deposit containers banned from landfill in 1990. (Hogg et al., 2010)","Wine & Liquor: $0.15 ;  Other: $0.05 (Hogg et al., 2010) ","Beer, soft drink, wine, cooler, mineral water. Expanded to include wine, liquor, water and non-alcoholic drinks in 1989 (Hogg et al., 2010) ","1798, revised 1989 (Hogg et al., 2010) ",,,,,Maine Department of Environmental Protection,https://www.maine.gov/dep/sustainability/bottlebill/index.html,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Massachusetts,42.15603,-71.5659,large,waste-basket,#E15B6C,"Any retail establishment that sells the container (Hogg et al., 2010) ","$0.05 (Hogg et al., 2010) ","Beer, soft drinks, and carbonated water (Hogg et al., 2010) ","1983 (Hogg et al., 2010) ",,"total 69% (Hogg et al., 2010) ",,,Massachusetts Department of Environmental Protection,https://www.mass.gov/deposit-bottle-can-recycling,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Michigan,44.862617,-85.73514,large,waste-basket,#E15B6C,"MIchigan Beverage Container Act. Deposit-return at retailers. (Hogg et al., 2010) ","$0.10 (Hogg et al., 2010) ","Beer, soft drinks, carbonated and mineral water. Wine coolers and canned cocktails in 1988. (Hogg et al., 2010) ","1978, amended in 1988 (Hogg et al., 2010)",,"total 97% (Hogg et al., 2010)",,,"Michigan Department of Environment, Great Lakes, and Energy","https://www.michigan.gov/egle/0,9429,7-135-70153_69695---,00.html","(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-New York,40.71455,-74.00712,large,waste-basket,#E15B6C,"New York State Refillable Container Law; Deposit-return at redemption centers and retail stores  (Hogg et al., 2010) ","Minimum of $0.05 (Hogg et al., 2010) ","Beer and other malt drinks, carbonated soft drinks, wine coolers, mineral and soda waters. (Hogg et al., 2010) ","1983 (Hogg et al., 2010) ",,"Overall 70% (Hogg et al., 2010) ",,,New York Department of Environmental Conservation,http://www.dec.ny.gov/chemical/8500.htm,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Oregon,43.938812,-120.55859,large,waste-basket,#E15B6C,"The Beverage Container Act, deposit-return to retail stores, only US deposit law with no handling fee (Hogg et al., 2010) ","Standardized refill bottles $0.02; non-standardized and non-refillable $0.05 (Hogg et al., 2010) ","Beer, malt, carbonated soft drinks, mineral and soda water and as of 2009 water and flavoured water. Bottles and cans under 3L (Hogg et al., 2010) ","1972, amended 2009 (Hogg et al., 2010) ",,"Overall 84% (Hogg et al., 2010) ",,,Oregon Department of Environmental Quality,https://www.oregon.gov/deq/recycling/Pages/Bottle-Bill.aspx,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
USA-Vermont,44.075207,-72.66269,large,waste-basket,#E15B6C,"Beverage Container Law, deposit-return to retail stores and redemption centers (Hogg et al., 2010) ","Liquor above 50 ml: $0.15; Other: $0.05 (Hogg et al., 2010)","Beer, soft drinks, malt, soda and mineral water, mixed wine and liquor (added 1987). (Hogg et al., 2010) ","1973 (Hogg et al., 2010) ",,"Overall 90-95% (Hogg et al., 2010)",,,Vermont Department of Environmental Conservation,https://dec.vermont.gov/waste-management/solid/product-stewardship/bottle-bill,"(Hogg et al., 2010)",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,
